 -0.362426337016846+0.0983175866923258i 0.877096291628746+0.20251243788893i 0.485386894448848-0.292529582268738i
 0.113251371764336 -0.18230425043409 0.976698155556342
 -0.556471416087548+0.0950238671400513i 0.866695774220745+0.549211308355122i 0.75239389554382-0.562366410336523i
 -0.546605596781308+1.08140885783848i 1.87725350669482+0.307499026811i -0.0110929058156295-1.24859148246688i
 -0.2334249067515 0.444122763339811 0.865024730277386
 -0.0114280376816573 -0.000888215339326546 0.999934303356104
 -0.113298313315977 0.173073902104297 0.978370541569066
 0.407948122200075 -0.289343643140181 0.865943754390434
 0.531975311349294+0.50267151553972i -0.384911225677801-0.0617545467972887i 0.957979214695204-0.303951118999204i
 0.507262007249041+0.347670525670941i -0.220468933652352-0.107601614737845i 0.934033794277166-0.214213728881765i
 0.651353074366738 -0.3375537938255 0.67955618515838
 -0.0812026947317955-0.279363116381417i -0.0767795811228685+0.263381780893974i 1.06533096989452-0.00231167131718007i
 0.459674808067697 -0.468573028055088 0.754412611378689
 -0.847181219354605+0.772546181102595i -0.560124886434994-1.68636407316567i 1.85302532002214-0.156548249028927i
 0.131563501510115 -0.359345360842297 0.923884168449442
 0.354150977250874 -0.501304805479283 0.789474874404264
 0.475975407404049+0.402245932651894i -0.640299338836938-0.224919138457325i 0.85441172400568-0.392638277180729i
 0.108139535271024 -0.235741812026436 0.965780326458279
 -0.0219859433402066 0.12815102747838 0.991510934105962
 0.367058816590085 -0.272811473987648 0.889292822879041
 0.783804362830792 0.0122126635650413 0.620887728704685
 0.642975806855113 -0.254596978025941 0.722331288661287
 0.553381219668545+0.78456329996701i -0.410987389836023-0.223618629750471i 1.17879774557125-0.44627421012571i
 0.919724935844318+0.215709704924083i 0.54054401639616-0.389180069074491i -0.249429487714722-0.0480110159639901i
 0.661376783703542 -0.275559734489287 0.697601306410869
